Атомный номер	Элемент	Изотоп	Тип измерений
11	NA	NA-24	ДЖИ-1
12	MG	MG-27	КЖИ-2
13	AL	AL-28	КЖИ-2
14	SI	AL-29	КЖИ-2
16	S	S-37	КЖИ-2
17	CL	CL-38	КЖИ-2
19	K	K-42	ДЖИ-1
20	CA	CA-47	-
20	CA	CA-49	КЖИ-2
21	SC	SC-46	ДЖИ-2
22	TI	TI-51	КЖИ-2
23	V	V-52	КЖИ-2
24	CR	CR-51	ДЖИ-2
25	MN	MN-54	-
25	MN	MN-56	КЖИ-2
26	FE	FE-59	ДЖИ-2
27	CO	CO-60m	-
27	CO	CO-60	ДЖИ-2
28	NI	CO-58	ДЖИ-2
28	NI	NI-65	-
29	CU	CU-64	-
29	CU	CU-66	КЖИ-2
30	ZN	ZN-65	ДЖИ-2
30	ZN	ZN-69m	-
31	GA	GA-70	-
31	GA	GA-72	-
32	GE	GE-75	-
32	GE	GE-77	-
33	AS	AS-76	ДЖИ-1
34	SE	SE-75	ДЖИ-2
34	SE	SE-81	-
34	SE	SE-81m	-
35	BR	BR-80	-
35	BR	BR-82	ДЖИ-1
37	RB	RB-86	ДЖИ-2
37	RB	RB-88	-
38	SR	SR-85	ДЖИ-2
38	SR	SR-87m	-
39	Y	Y-90m	-
40	ZR	ZR-95	ДЖИ-2
41	NB	NB-94m	-
42	MO	MO-99	ДЖИ-1
42	MO	MO-101	-
44	RU	RU-97	-
44	RU	RU-103	ДЖИ-2
45	RH	RH-104m	-
46	PD	PD-109m	-
47	AG	AG-108	-
47	AG	AG-110m	ДЖИ-2
48	CD	CD-115	ДЖИ-1
48	CD	CD-117	-
48	CD	CD-117m	-
49	IN	IN-113m	-
49	IN	IN-114m	-
49	IN	IN-116m	КЖИ-2
50	SN	SN-113	-
50	SN	SN-113m	-
50	SN	SN-117m	ДЖИ-2
50	SN	SN-125	-
50	SN	SN-125m	-
51	SB	SB-122	-
51	SB	SB-124	ДЖИ-2
51	SB	SB-125	-
52	TE	TE-123m	-
52	TE	TE-131m	-
53	I	I-128	КЖИ-2
55	CS	CS-134	ДЖИ-2
56	BA	BA-131	ДЖИ-2
56	BA	BA-139	-
57	LA	LA-140	ДЖИ-1
58	CE	CE-141	ДЖИ-2
59	PR	PR-142	-
60	ND	ND-147	ДЖИ-2
62	SM	SM-153	ДЖИ-1
62	SM	SM-155	-
63	EU	EU-152	ДЖИ-2
63	EU	EU-152m	-
63	EU	EU-154	-
64	GD	GD-153	ДЖИ-2
64	GD	GD-161	-
65	TB	TB-160	ДЖИ-2
66	DY	DY-165	КЖИ-2
67	HO	HO-166	-
68	ER	ER-171	-
69	TM	TM-170	ДЖИ-2
70	YB	YB-169	ДЖИ-2
70	YB	YB-175	-
71	LU	LU-177	ДЖИ-1
72	HF	HF-181	ДЖИ-2
73	TA	TA-182	ДЖИ-2
74	W	W-187	ДЖИ-1
75	RE	RE-186	-
75	RE	RE-188	ДЖИ-1
76	OS	OS-185	-
76	OS	OS-193	-
77	IR	IR-192	ДЖИ-2
77	IR	IR-194	-
78	PT	PT-191	-
78	PT	PT-197	-
78	PT	PT-199	-
79	AU	AU-198	ДЖИ-1
79	AU	AU-199	-
80	HG	HG-197	-
80	HG	HG-197m	-
80	HG	HG-203	ДЖИ-2
90	Th	PA-233	ДЖИ-2
92	U	U-239	-
92	U	NP-239	ДЖИ-1